"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3";"SOIC-8_5P28X5P28_WIN";1;"W25Q64JVSSIQ";;;
2;"C15,C8,C11,C16,C9,C12,C1,C10";"C_0402_1005Metric";8;"100nF";;;
3;"C14";"CP_EIA-3216-18_Kemet-A";1;"100uF";;;
4;"R5,R6";"R_0402_1005Metric";2;"5.1kÎ©";;;
5;"C4,C5";"C_0402_1005Metric";2;"6.8pF";;;
6;"C6";"C_0805_2012Metric";1;"10uF";;;
7;"R8,R13,R9,R3,R4,R11,R10,R12,R1,R2";"R_0402_1005Metric";10;"10k";;;
8;"SW1,SW2";"SW_SPST_PTS647_Sx38";2;"SW_Push";;;
9;"J3";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
10;"L1";"L_0603_1608Metric";1;"2.2uH";;;
11;"AE1";"Johanson_2450AT18x100_2400-2500Mhz";1;"Antenna";;;
12;"J1";"PinHeader_1x13_P2.54mm_Vertical";1;"Conn_01x13_Pin";;;
13;"L2";"L_0402_1005Metric";1;"3.3nH";;;
14;"C7";"C_1206_3216Metric";1;"22uF";;;
15;"U1";"QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm";1;"ESP32-C6";;;
16;"C2,C3";"C_0402_1005Metric";2;"12pF";;;
17;"L3";"L_0402_1005Metric";1;"2.7nH";;;
18;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"C521661";;;
19;"D1";"LED_0805_2012Metric";1;"LED";;;
20;"U2";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias";1;"TPS62172DSG";;;
21;"Y3";"Crystal_SMD_2012-2Pin_2.0x1.2mm";1;"Crystal";;;
22;"J4";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_14P";;;
23;"C13";"C_0402_1005Metric";1;"1.2pF";;;
24;"R7";"R_0402_1005Metric";1;"100k";;;
25;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_2_Bridged";;;
